,id,self,name,type
0,50,https://jira.spring.io/rest/agile/1.0/board/50,ABCTesting,scrum
1,27,https://jira.spring.io/rest/agile/1.0/board/27,alg engine,scrum
2,3,https://jira.spring.io/rest/agile/1.0/board/3,AMQP,scrum
3,45,https://jira.spring.io/rest/agile/1.0/board/45,Asmum,scrum
4,61,https://jira.spring.io/rest/agile/1.0/board/61,azerty,scrum
5,11,https://jira.spring.io/rest/agile/1.0/board/11,BugZilla,scrum
6,23,https://jira.spring.io/rest/agile/1.0/board/23,ChangeLogs,scrum
7,31,https://jira.spring.io/rest/agile/1.0/board/31,Copy of alg engine,scrum
8,71,https://jira.spring.io/rest/agile/1.0/board/71,Copy of Copy of TestBoard,scrum
9,69,https://jira.spring.io/rest/agile/1.0/board/69,Copy of TestBoard,scrum
10,1,https://jira.spring.io/rest/agile/1.0/board/1,Dave,scrum
11,47,https://jira.spring.io/rest/agile/1.0/board/47,demo,scrum
12,36,https://jira.spring.io/rest/agile/1.0/board/36,Desarrollo del Procedimiento INDECOPI,scrum
13,58,https://jira.spring.io/rest/agile/1.0/board/58,EricScrum,scrum
14,67,https://jira.spring.io/rest/agile/1.0/board/67,ES,scrum
15,59,https://jira.spring.io/rest/agile/1.0/board/59,happy,scrum
16,29,https://jira.spring.io/rest/agile/1.0/board/29,Hello,scrum
17,38,https://jira.spring.io/rest/agile/1.0/board/38,jc1,scrum
18,24,https://jira.spring.io/rest/agile/1.0/board/24,learning,scrum
19,15,https://jira.spring.io/rest/agile/1.0/board/15,Luke's XD Board,scrum
20,57,https://jira.spring.io/rest/agile/1.0/board/57,M-Spring-Batch,scrum
21,8,https://jira.spring.io/rest/agile/1.0/board/8,Minella - Batch,scrum
22,34,https://jira.spring.io/rest/agile/1.0/board/34,Open bugs,scrum
23,46,https://jira.spring.io/rest/agile/1.0/board/46,ronnie,scrum
24,66,https://jira.spring.io/rest/agile/1.0/board/66,sdads,scrum
25,56,https://jira.spring.io/rest/agile/1.0/board/56,sdc,scrum
26,13,https://jira.spring.io/rest/agile/1.0/board/13,SE_Projekt,scrum
27,22,https://jira.spring.io/rest/agile/1.0/board/22,Security,scrum
28,39,https://jira.spring.io/rest/agile/1.0/board/39,SI,scrum
29,30,https://jira.spring.io/rest/agile/1.0/board/30,SLAM5,scrum
30,5,https://jira.spring.io/rest/agile/1.0/board/5,Spring Data - Release Train,scrum
31,10,https://jira.spring.io/rest/agile/1.0/board/10,Spring Data Cassandra,scrum
32,40,https://jira.spring.io/rest/agile/1.0/board/40,SPRING INT,scrum
33,64,https://jira.spring.io/rest/agile/1.0/board/64,Spring Tool Suite,scrum
34,35,https://jira.spring.io/rest/agile/1.0/board/35,spring xd,kanban
35,43,https://jira.spring.io/rest/agile/1.0/board/43,Spring XD,scrum
36,37,https://jira.spring.io/rest/agile/1.0/board/37,spring xd data redis ,scrum
37,41,https://jira.spring.io/rest/agile/1.0/board/41,spring-dao,scrum
38,26,https://jira.spring.io/rest/agile/1.0/board/26,springboard,scrum
39,25,https://jira.spring.io/rest/agile/1.0/board/25,SpringFrameworkBoard,scrum
40,48,https://jira.spring.io/rest/agile/1.0/board/48,springLdap,scrum
41,51,https://jira.spring.io/rest/agile/1.0/board/51,Test-board,scrum
42,9,https://jira.spring.io/rest/agile/1.0/board/9,TestBoard,scrum
43,55,https://jira.spring.io/rest/agile/1.0/board/55,TESTBOARD,scrum
44,70,https://jira.spring.io/rest/agile/1.0/board/70,view,kanban
45,6,https://jira.spring.io/rest/agile/1.0/board/6,XD Board,scrum
46,54,https://jira.spring.io/rest/agile/1.0/board/54,Yessil,scrum
