board_id,board_name
4532,Appformer Foundation Scrum
1882,BxMS Docs Team Planning
4036,BXMS Overview Board
5964,Copy of Kogito Runtimes
6365,Design Tools Board
3838,Designer.NEXT Board
4552,Drools-tools
4568,jBPM Core & Runtime View Agile Board
4778,Kogito Overview Board
5642,Kogito Tooling Scrum
6257,Orange Scrum Team
9218,Personal Board
6607,Runtimes Docs
6503,Scrum Orange temp Board
2962,A-MQ 7.0.0 Broker
1090,Fuse/AMQ Doc Team Aggregated Issues
4036,BXMS Overview Board
4492,Copy of Copy of jBPM Workbench Agile Board
4259,Copy of Decision Model and Notation - DMN
4490,Copy of jBPM Workbench Agile Board
4688,Copy of RHBA Sustaining
4048,Decision Model and Notation - DMN
3990,Designer Board
3838,Designer.NEXT Board
3972,jBPM work in progress
4052,jBPM Workbench Agile Board
4524,RHBA Sustaining
4036,BXMS Overview Board
4259,Copy of Decision Model and Notation - DMN
4688,Copy of RHBA Sustaining
4048,Decision Model and Notation - DMN
3990,Designer Board
3838,Designer.NEXT Board
3972,jBPM work in progress
4524,RHBA Sustaining
3806,Copy of EAP 7.0.z Scrum DEV
3466,EAP 7 Scrum DEV
3730,EAP 7.0.z Scrum DEV
4195,EAP 7.1.z Scrum DEV
3454,JIRA Status - based on Priority
311,Test
631,WFK2 Test Board
3390,MWES Sprint
3390,MWES Sprint
3410,ASSparta
3484,Build.next
6217,Copy of DevstudioQE
641,devstudio everything
3482,devstudio everything else
4054,DevstudioQE
3636,Docker Tools
4243,Eclipse Team
3618,POC QE Test Board for RH Developer
4079,rhopp_test1
6473,BA Runtimes
5632,BAQE Kogito Tooling
4036,BXMS Overview Board
5964,Copy of Kogito Runtimes
6365,Design Tools Board
3838,Designer.NEXT Board
4552,Drools-tools
4568,jBPM Core & Runtime View Agile Board
4778,Kogito Overview Board
14180,Kogito Serverless
13275,Kogito Tech Debt
5642,Kogito Tooling Scrum
6257,Orange Scrum Team
9218,Personal Board
13454,Process Core
6607,Runtimes Docs
6503,Scrum Orange temp Board
5560,AMM Scrum Board
4046,Main Windup Scrum Board
37,Apache Aurora Twitter Scrum
62,Apache Mesos Mesosphere Scrum
188,Apache Mesos Multitenancy
35,Apache Mesos Twitter Scrum
123,ijkukiu
197,morakot
121,小千懂事会
23,Usergrid
